user_id,episode_id,cpt,created_at,updated_at
4524940,184678,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184679,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184680,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184681,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184682,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184683,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184684,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184685,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184686,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184687,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184688,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184689,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184690,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184691,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184692,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184693,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184694,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,184695,1,2018-02-08 13:42:29 +0000 UTC,2018-02-08 13:42:29 +0000 UTC
4524940,302606,1,2019-03-27 23:20:42 +0000 UTC,2019-03-27 23:20:42 +0000 UTC
4524940,302635,1,2019-03-27 23:20:42 +0000 UTC,2019-03-27 23:20:42 +0000 UTC
4524940,302820,1,2018-02-08 13:42:31 +0000 UTC,2018-02-08 13:42:31 +0000 UTC
4524940,302821,1,2018-02-08 13:42:31 +0000 UTC,2018-02-08 13:42:31 +0000 UTC
4524940,302822,1,2018-02-08 13:42:31 +0000 UTC,2018-02-08 13:42:31 +0000 UTC
4524940,302823,1,2018-02-08 13:42:31 +0000 UTC,2018-02-08 13:42:31 +0000 UTC
4524940,302824,1,2018-02-08 13:42:31 +0000 UTC,2018-02-08 13:42:31 +0000 UTC
4524940,302825,1,2018-02-08 13:42:31 +0000 UTC,2018-02-08 13:42:31 +0000 UTC
4524940,302826,1,2018-02-08 13:42:31 +0000 UTC,2018-02-08 13:42:31 +0000 UTC
4524940,303584,1,2018-02-08 13:42:31 +0000 UTC,2018-02-08 13:42:31 +0000 UTC
4524940,303585,1,2018-02-08 13:42:31 +0000 UTC,2018-02-08 13:42:31 +0000 UTC
4524940,303586,1,2018-02-08 13:42:31 +0000 UTC,2018-02-08 13:42:31 +0000 UTC
4524940,303587,1,2018-02-08 13:42:31 +0000 UTC,2018-02-08 13:42:31 +0000 UTC
4524940,303588,1,2018-02-08 13:42:31 +0000 UTC,2018-02-08 13:42:31 +0000 UTC
